"","Tp","Cl","pH","Redox","Leit","Trueb","Cl_2","Fm","Fm_2","EVENT"
"43994",7.6,0.179122039766847,8.36,731.410290624126,211,0.026,0.13901735098125,1857,1005,"1"
"43995",7.6,0.181034243743532,8.36,729.151319686538,211,0.026,0.141519086079375,1831,1008,"1"
"43996",7.7,0.182946447720216,8.36,726.892348748951,211,0.026,0.1440208211775,1806,1006,"1"
"43997",7.6,0.184858651696901,8.36,724.633377811364,211,0.026,0.146522556275625,1812,1008,"1"
"43998",7.6,0.186770855673586,8.36,722.374406873776,211,0.026,0.14802429137375,1854,1002,"1"
"43999",7.6,0.18868305965027,8.36,720.115435936189,211,0.026,0.148526026471875,1854,997,"1"
"44000",7.6,0.190595263626955,8.36,717.856464998601,211,0.026,0.15402776157,1910,997,"1"
"44001",7.6,0.19250746760364,8.36,715.597494061014,211,0.025,0.156529496668126,1865,1001,"1"
"44002",7.6,0.194419671580324,8.36,713.338523123427,211,0.025,0.159031231766251,1868,1002,"1"
"44003",7.6,0.196331875557009,8.36,711.079552185839,211,0.026,0.161532966864376,1863,1002,"1"
"44004",7.5,0.198244079533694,8.36,708.820581248252,211,0.026,0.164034701962501,1854,1001,"1"
"50255",7.7,0.16,7.64,446,122,0.025,0.004,1549,806,"1"
"50256",7.7,0.16,7.03,450,415,0.025,0.002,1587,812,"1"
"50257",7.7,0.16,7.01,454,381,0.025,0,1576,814,"1"
"50258",7.7,0.16,7,457,323,0.025,0,1579,814,"1"
"50259",7.7,0.16,7,458,285,0.025,0,1587,811,"1"
"50260",7.7,0.16,7,458,261,0.025,0,1527,806,"1"
"50261",7.7,0.16,7.01,459,248,0.027,0,1572,805,"1"
"50262",7.7,0.16,7.01,460,237,0.025,0,1601,815,"1"
"50263",7.7,0.16,7.01,460,235,0.025,0,1657,814,"1"
"50264",7.7,0.16,7.01,460,227,0.025,0.003,1633,820,"1"
"50265",7.7,0.16,7.01,460,221,0.025,0.004,1587,812,"1"
"50266",7.7,0.16,7.01,460,217,0.025,0.007,1667,817,"1"
"50267",7.7,0.17,7.01,460,217,0.025,0.01,1572,810,"1"
"50268",7.7,0.16,7.01,460,217,0.025,0.011,1655,812,"1"
"50269",7.7,0.17,7.02,460,217,0.025,0.011,1547,824,"1"
"50270",7.7,0.17,7.02,460,217,0.025,0.011,1674,814,"1"
"50271",7.7,0.17,7.02,460,217,0.025,0.01,1591,822,"1"
"50272",7.7,0.17,7.02,460,217,0.024,0.01,1614,821,"1"
"50273",7.7,0.17,7.02,460,217,0.025,0.008,1611,810,"1"
"50274",7.7,0.17,7.02,460,217,0.024,0.008,1599,817,"1"
"50275",7.7,0.17,7.02,460,217,0.024,0.007,1576,811,"1"
"50276",7.7,0.17,7.02,460,217,0.025,0.007,1586,812,"1"
"50277",7.7,0.17,7.02,460,217,0.025,0.007,1642,821,"1"
"50278",7.7,0.17,7.02,459,217,0.024,0.007,1581,824,"1"
"50279",7.7,0.16,7.02,459,217,0.026,0.007,1532,824,"1"
"50280",7.7,0.16,7.02,459,217,0.026,0.006,1587,817,"1"
"50281",7.7,0.16,7.02,459,217,0.024,0.006,1572,814,"1"
"50282",7.7,0.16,7.02,459,217,0.024,0.006,1584,817,"1"
"50283",7.7,0.16,7.02,459,217,0.025,0.004,1562,818,"1"
"50284",7.7,0.16,7.02,459,217,0.026,0.004,1609,818,"1"
"50285",7.7,0.16,7.02,459,217,0.025,0.004,1574,815,"1"
"50286",7.7,0.16,7,453,217,0.026,0,1621,812,"1"
"50287",7.7,0.16,4.68,419,217,0.025,0.026,1540,810,"1"
"50288",7.7,0.16,4.69,323,217,0.025,0.075,1563,804,"1"
"50289",7.7,0.1,4.68,326,214,0.025,0.083,1582,812,"1"
"50290",7.7,0,4.68,340,214,0.025,0.088,1626,811,"1"
"50291",7.7,0,4.68,356,214,0.025,0.091,1613,814,"1"
"50292",7.7,0,4.69,367,214,0.026,0.091,1631,829,"1"
"50293",7.7,0,4.69,381,214,0.027,0.092,1568,828,"1"
"50294",7.7,0,4.69,393,214,0.028,0.094,1582,815,"1"
"50295",7.7,0,4.69,403,214,0.026,0.094,1559,814,"1"
"50296",7.7,0,4.69,419,214,0.025,0.095,1601,812,"1"
"50297",7.7,0,4.69,431,214,0.025,0.095,1578,810,"1"
"50298",7.7,0,4.69,440,213,0.025,0.095,1585,817,"1"
"50299",8.5,0,4.69,455,214,0.025,0.095,1541,820,"1"
"50300",11.8,0,4.69,461,214,0.025,0.095,1599,811,"1"
"50301",9.9,0,4.69,478,214,0.026,0.095,1570,815,"1"
"50302",8,0,4.69,490,213,0.025,0.095,1650,812,"1"
"50303",8,0,4.69,501,213,0.025,0.095,1563,815,"1"
"50304",8,0,4.69,508,213,0.025,0.095,1546,809,"1"
"50305",8,0,4.69,518,214,0.025,0.095,1587,821,"1"
"50306",8,0,4.7,530,213,0.025,0.095,1564,815,"1"
"50307",8,0,4.7,542,213,0.025,0.097,1555,814,"1"
"50308",8,0,4.7,550,213,0.026,0.097,1521,817,"1"
"50309",8,0,4.7,563,213,0.026,0.095,1628,817,"1"
"50310",8,0,4.7,571,213,0.025,0.095,1643,809,"1"
"50311",8,0,4.7,579,213,0.026,0.097,1642,811,"1"
"50312",8,0,4.7,593,214,0.026,0.095,1640,817,"1"
"50313",8,0,4.7,600,214,0.026,0.097,1637,821,"1"
"50314",8,0.14,4.7,611,213,0.026,0.097,1663,815,"1"
"50315",8,0.15,4.7,621,214,0.025,0.098,1650,814,"1"
"50316",8,0.15,4.7,628,214,0.025,0.098,1637,812,"1"
"50317",8,0.15,4.7,637,214,0.025,0.098,1607,811,"1"
"50318",8,0.15,4.7,643,214,0.025,0.098,1634,815,"1"
"50319",8,0.15,4.7,654,214,0.025,0.098,1616,815,"1"
"50320",8,0.15,4.7,660,214,0.025,0.098,1637,817,"1"
"50321",8,0.16,4.65,665,214,0.025,0.098,1655,814,"1"
"50322",8,0.15,6.94,674,217,0.025,0.097,1636,811,"1"
"50323",8,0.15,8.18,676,214,0.025,0.098,1684,809,"1"
"50324",8,0.15,8.32,680,214,0.025,0.098,1609,815,"1"
"50325",8,0.15,8.3,683,214,0.026,0.098,1585,814,"1"
"50326",8,0.15,8.26,688,214,0.026,0.098,1651,810,"1"
"50327",8,0.16,8.26,691,214,0.025,0.098,1627,817,"1"
"50328",8,0.16,8.25,692,214,0.025,0.098,1642,811,"1"
"50329",8,0.16,8.25,696,214,0.025,0.098,1631,814,"1"
"50330",8,0.16,8.25,699,214,0.026,0.099,1640,818,"1"
"50331",8,0.16,8.26,701,214,0.026,0.098,1628,818,"1"
"50332",8,0.16,8.26,702,214,0.025,0.098,1613,817,"1"
"50333",8,0.16,8.26,704,214,0.026,0.098,1625,815,"1"
"50334",8,0.16,8.26,706,214,0.026,0.098,1642,821,"1"
"50335",8.1,0.16,8.26,709,214,0.025,0.097,1613,821,"1"
"50336",8.1,0.16,8.27,709,214,0.025,0.098,1630,820,"1"
"50337",8.1,0.16,8.28,709,214,0.026,0.098,1604,818,"1"
"50338",8.1,0.16,8.28,712,214,0.025,0.098,1628,814,"1"
"50339",8.1,0.16,8.29,713,214,0.026,0.099,1621,817,"1"
"50340",8.1,0.16,8.3,713,214,0.025,0.099,1628,812,"1"
"50341",8.1,0.16,8.3,714,214,0.025,0.098,1598,806,"1"
"50342",8.1,0.16,8.31,715,214,0.025,0.099,1622,814,"1"
"50343",8.1,0.16,8.32,715,214,0.025,0.098,1575,811,"1"
"50344",8.1,0.17,8.33,716,214,0.026,0.099,1638,818,"1"
"50345",8.1,0.17,8.34,717,214,0.026,0.099,1609,820,"1"
"50346",8.1,0.17,8.34,719,214,0.026,0.099,1627,822,"1"
"50347",8,0.17,8.35,718,214,0.026,0.099,1656,815,"1"
"50348",7.9,0.18,8.36,720,214,0.026,0.099,1649,814,"1"
"50349",7.8,0.18,8.37,720,214,0.025,0.099,1656,817,"1"
"50350",7.8,0.18,8.38,722,214,0.026,0.099,1637,820,"1"
"50351",7.8,0.18,8.39,722,214,0.025,0.099,1643,820,"1"
"50352",7.8,0.18,8.39,722,214,0.025,0.099,1656,820,"1"
"50353",7.8,0.18,8.4,723,214,0.025,0.099,1608,817,"1"
"50354",7.8,0.18,8.41,723,214,0.025,0.099,1673,815,"1"
"50355",7.8,0.18,8.43,723,214,0.025,0.099,1625,817,"1"
"50356",7.9,0.18,8.43,724,214,0.025,0.099,1657,821,"1"
"50357",7.8,0.18,8.45,724,214,0.025,0.099,1620,814,"1"
"50358",7.8,0.18,8.45,724,214,0.025,0.099,1638,820,"1"
"50359",7.8,0.17,8.46,724,214,0.025,0.099,1631,814,"1"
"50360",7.8,0.18,8.47,725,214,0.025,0.099,1611,820,"1"
"50361",7.8,0.18,8.47,726,214,0.025,0.099,1608,817,"1"
"50362",7.8,0.18,8.48,726,214,0.025,0.099,1657,820,"1"
"50363",7.8,0.18,8.49,726,214,0.025,0.099,1644,818,"1"
"50364",7.8,0.18,8.49,726,214,0.026,0.099,1634,818,"1"
"50365",7.8,0.18,8.49,726,214,0.026,0.099,1611,815,"1"
"50366",7.8,0.18,8.51,726,214,0.025,0.099,1630,818,"1"
"50367",7.8,0.17,8.51,726,214,0.025,0.099,1636,815,"1"
"50368",7.8,0.18,8.51,727,214,0.025,0.099,1653,821,"1"
"50369",7.8,0.17,8.52,728,214,0.026,0.099,1530,814,"1"
"50370",7.8,0.18,8.53,729,214,0.026,0.099,1586,820,"1"
"50371",7.8,0.18,8.53,727,214,0.027,0.099,1517,815,"1"
"50372",7.8,0.18,8.54,728,214,0.025,0.099,1515,812,"1"
"50373",7.8,0.18,8.54,729,214,0.026,0.099,1568,815,"1"
"50374",7.8,0.18,8.55,729,214,0.025,0.099,1526,817,"1"
"50375",7.8,0.18,8.55,729,214,0.025,0.099,1527,815,"1"
"50376",7.8,0.18,8.56,729,214,0.025,0.099,1640,815,"1"
"50377",7.8,0.18,8.57,729,214,0.025,0.099,1630,817,"1"
"50378",7.8,0.18,8.57,729,214,0.026,0.099,1648,821,"1"
"50379",7.8,0.18,8.58,729,214,0.026,0.101,1625,815,"1"
"50380",7.8,0.18,8.6,729,214,0.025,0.099,1662,818,"1"
"50381",7.8,0.18,8.63,729,214,0.025,0.099,1535,814,"1"
"50382",7.8,0.18,8.66,728,214,0.025,0.099,1613,812,"1"
"50383",7.8,0.18,8.68,728,214,0.025,0.101,1576,812,"1"
"50384",7.9,0.18,8.7,727,214,0.025,0.099,1539,818,"1"
"50385",7.9,0.18,8.72,726,214,0.024,0.099,1528,821,"1"
"50386",7.9,0.18,8.73,726,214,0.025,0.099,1563,812,"1"
"50387",7.9,0.18,8.72,726,214,0.025,0.101,1579,811,"1"
"50388",7.9,0.18,8.72,727,214,0.024,0.099,1533,812,"1"
"50389",7.9,0.18,8.72,728,211,0.025,0.101,1546,817,"1"
"50390",7.9,0.18,8.71,729,214,0.025,0.101,1516,824,"1"
"50391",7.9,0.18,8.71,729,214,0.024,0.101,1550,817,"1"
"50392",7.9,0.18,8.7,729,214,0.024,0.101,1568,820,"1"
"50393",7.9,0.18,8.7,729,214,0.024,0.102,1527,810,"1"
"50394",7.9,0.18,8.7,729,214,0.025,0.101,1515,818,"1"
"50395",7.9,0.18,8.7,730,214,0.025,0.102,1523,814,"1"
"50396",7.9,0.18,8.7,730,214,0.025,0.102,1545,811,"1"
"50397",7.9,0.18,8.69,730,214,0.025,0.102,1546,814,"1"
"50398",7.9,0.18,8.69,730,214,0.025,0.102,1586,812,"1"
"50399",7.9,0.18,8.68,730,214,0.025,0.102,1581,806,"1"
"50400",7.9,0.18,8.68,731,214,0.025,0.102,1552,815,"1"
"50401",7.9,0.18,8.68,731,214,0.028,0.101,1526,814,"1"
"50402",7.9,0.18,8.68,731,214,0.028,0.101,1561,820,"1"
"50403",7.9,0.18,8.68,731,211,0.028,0.102,1549,818,"1"
"50404",7.9,0.18,8.68,731,211,0.028,0.102,1578,820,"1"
"50405",7.9,0.18,8.67,731,211,0.028,0.101,1578,824,"1"
"50406",7.9,0.18,8.66,731,214,0.028,0.101,1549,820,"1"
"50407",7.9,0.18,8.66,731,211,0.028,0.101,1532,826,"1"
"50408",7.9,0.18,8.66,731,211,0.027,0.101,1559,826,"1"
"50409",7.9,0.18,8.66,732,211,0.027,0.101,1509,821,"1"
"50410",7.9,0.18,8.66,732,214,0.026,0.101,1550,826,"1"
"50411",7.9,0.18,8.66,732,211,0.027,0.101,1528,826,"1"
"50412",7.9,0.18,8.66,733,211,0.027,0.099,1546,828,"1"
"50413",7.9,0.18,8.66,731,211,0.027,0.099,1599,827,"1"
"50414",7.9,0.18,8.68,732,211,0.028,0.099,1547,822,"1"
"50415",7.9,0.18,8.69,732,211,0.027,0.101,1552,821,"1"
"50416",7.9,0.19,8.71,733,211,0.027,0.099,1532,826,"1"
"50417",7.9,0.18,8.72,732,211,0.027,0.099,1590,824,"1"
"50418",7.9,0.18,8.73,732,211,0.028,0.099,1574,827,"1"
"50419",7.9,0.18,8.73,732,211,0.028,0.099,1521,827,"1"
"50420",7.9,0.18,8.74,731,211,0.029,0.099,1562,824,"1"
"50421",7.9,0.18,8.75,731,211,0.028,0.099,1532,824,"1"
"50422",7.9,0.18,8.74,731,211,0.028,0.099,1538,828,"1"
"50423",7.9,0.18,8.74,730,211,0.028,0.099,1509,822,"1"
"50424",7.9,0.18,8.72,731,211,0.028,0.099,1549,822,"1"
"50425",7.9,0.18,8.72,732,211,0.028,0.099,1553,820,"1"
"50426",7.9,0.18,8.72,731,211,0.028,0.099,1557,821,"1"
"50427",7.9,0.18,8.7,733,211,0.029,0.099,1540,824,"1"
"50428",7.9,0.18,8.7,733,211,0.028,0.099,1561,820,"1"
"50429",7.9,0.18,8.68,734,211,0.029,0.101,1524,821,"1"
"50430",7.9,0.18,8.68,734,211,0.029,0.101,1568,821,"1"
"50431",7.9,0.18,8.67,734,211,0.029,0.101,1520,827,"1"
"50432",7.9,0.18,8.66,734,211,0.028,0.102,1557,827,"1"
"50433",7.9,0.18,8.65,734,211,0.028,0.101,1524,824,"1"
"50434",7.9,0.18,8.64,734,211,0.028,0.102,1523,829,"1"
"50435",7.9,0.17,8.64,734,211,0.028,0.102,1527,828,"1"
"50436",7.9,0.17,8.62,735,211,0.028,0.102,1597,828,"1"
"50437",7.9,0.17,8.62,735,211,0.028,0.102,1497,821,"1"
"50438",7.9,0.17,8.6,735,211,0.028,0.104,1582,827,"1"
"50439",7.9,0.17,8.59,735,211,0.028,0.104,1574,826,"1"
"50440",7.9,0.17,8.58,735,211,0.028,0.104,1562,824,"1"
"50441",7.9,0.17,8.58,736,211,0.028,0.104,1586,827,"1"
"50442",7.9,0.17,8.57,736,211,0.029,0.104,1527,824,"1"
"50443",7.9,0.17,8.56,736,211,0.028,0.105,1539,821,"1"
"50444",7.9,0.17,8.56,737,211,0.029,0.104,1561,821,"1"
"50445",7.9,0.16,8.55,737,211,0.031,0.105,1633,824,"1"
"50446",7.9,0.17,8.54,738,211,0.029,0.106,1692,827,"1"
"50447",7.9,0.17,8.53,737,211,0.029,0.105,1660,829,"1"
"50448",7.9,0.17,8.53,738,211,0.029,0.106,1625,827,"1"
"50449",7.9,0.17,8.51,738,211,0.029,0.106,1619,822,"1"
"50450",7.9,0.17,8.51,738,211,0.029,0.106,1540,826,"1"
"50451",7.9,0.17,8.5,738,211,0.029,0.106,1614,822,"1"
"50452",7.9,0.17,8.49,739,211,0.029,0.106,1607,826,"1"
"60589",8.4,0.33,8.29,754,212,0.028,0.101,615,47,"1"
"60590",8.5,0.35,8.29,754,212,0.024,0.1,626,46,"1"
"60591",8.5,0.34,8.29,754,212,0.024,0.1,718,42,"1"
"60592",8.5,0.38,8.29,754,212,0.024,0.101,563,46,"1"
"60593",8.5,0.43,8.29,754,212,0.027,0.1,695,45,"1"
"60594",8.5,0.46,8.29,752,212,0.024,0.1,609,45,"1"
"60595",8.6,0.51,8.29,753,212,0.024,0.1,597,45,"1"
"60596",8.6,0.52,8.3,753,212,0.024,0.1,591,45,"1"
"60597",8.5,0.64,8.3,752,212,0.024,0.098,631,46,"1"
"60598",8.6,0.63,8.3,752,212,0.024,0.098,613,45,"1"
"60599",8.6,0.68,8.3,752,212,0.024,0.098,585,42,"1"
"60600",8.6,0.64,8.3,752,212,0.024,0.097,596,45,"1"
"60601",8.7,0.57,8.3,753,212,0.024,0.097,604,45,"1"
"60602",8.7,0.56,8.31,751,212,0.023,0.097,596,46,"1"
"60603",8.7,0.7,8.31,751,212,0.024,0.097,649,47,"1"
"60604",8.7,0,4,300,0,0,0,0,0,"1"
"60605",0,0,4.01,300,10,0,0,3101,10,"1"
"60606",8.7,0.8,8.24,751,211,0.024,0.101,619,10,"1"
"60607",0,0,4,300,0,0,0,0,0,"1"
"60608",0,0,4.01,300,10,0,0,0,0,"1"
"60609",8.6,0.72,8.2,751,218,0.024,0.104,608,10,"1"
"60610",8.6,0.64,8.24,751,214,0.024,0.099,538,10,"1"
"60611",8.7,0.61,8.13,751,214,0.021,0.093,621,63,"1"
"60612",8.7,0.58,8.21,751,214,0.024,0.097,623,50,"1"
"60613",8.7,0.5,8.23,751,211,0.024,0.097,552,46,"1"
"60614",8.7,0.48,8.14,751,211,0.023,0.091,626,37,"1"
"60615",8.6,0.41,8.21,751,214,0.026,0.095,653,42,"1"
"60616",8.7,0.39,8.24,751,214,0.024,0.095,523,45,"1"
"60617",8.6,0.35,8.24,751,211,0.024,0.095,600,42,"1"
"60618",8.5,0.34,8.26,751,211,0.024,0.094,510,42,"1"
"60619",8.6,0.31,8.27,750,211,0.024,0.094,538,46,"1"
"60620",8.5,0.28,8.28,750,211,0.024,0.093,516,47,"1"
"60621",8.5,0.28,8.28,750,211,0.023,0.094,557,48,"1"
"60622",8.5,0.25,8.29,751,211,0.024,0.094,520,47,"1"
"60623",8.5,0.26,8.28,750,211,0.023,0.094,659,47,"1"
"60624",8.5,0.24,8.3,750,211,0.023,0.093,539,46,"1"
"60625",8.5,0.19,8.3,750,211,0.023,0.091,671,45,"1"
"60626",8.5,0.15,8.3,750,211,0.023,0.093,488,45,"1"
"60627",8.5,0.13,8.3,750,211,0.023,0.091,592,46,"1"
"60628",8.5,0.12,8.3,749,211,0.024,0.093,469,46,"1"
"60629",8.5,0.11,8.31,749,211,0.024,0.091,526,46,"1"
"60630",8.6,0.1,8.31,749,211,0.027,0.093,548,47,"1"
"60631",8.6,0.09,8.31,749,211,0.024,0.091,490,46,"1"
"60632",8.5,0.08,8.3,749,198,0.023,0.091,623,47,"1"
"60633",8.7,0.08,8.31,749,211,0.023,0.091,481,50,"1"
"60634",8.7,0.06,8.3,749,211,0.023,0.091,589,50,"1"
"60635",8.7,0.06,8.31,749,211,0.024,0.091,554,47,"1"
"60636",8.6,0.06,8.31,749,211,0.024,0.091,555,47,"1"
"60637",8.7,0.05,8.31,749,212,0.024,0.09,554,50,"1"
"60638",8.7,0.05,8.31,749,212,0.024,0.091,542,50,"1"
"60639",8.7,0.04,8.31,749,212,0.024,0.09,635,48,"1"
"60640",8.7,0.03,8.32,748,212,0.024,0.091,459,48,"1"
"60641",8.7,0.03,8.32,749,212,0.024,0.089,557,47,"1"
"60642",8.7,0.03,8.31,749,212,0.024,0.091,521,48,"1"
"60643",8.9,0.03,8.31,749,212,0.023,0.089,515,48,"1"
"60644",8.9,0.03,8.32,749,212,0.023,0.089,585,47,"1"
"60645",8.9,0.02,8.32,749,212,0.024,0.09,457,46,"1"
"60648",8.7,0.02,8.22,748,217,0.015,0.139,532,10,"1"
"60649",8.7,0.02,8.26,748,218,0.024,0.099,538,10,"1"
"60650",8.7,0.02,8.28,748,218,0.024,0.094,539,10,"1"
"60651",8.9,0.02,8.29,749,218,0.024,0.091,554,40,"1"
"60652",8.9,0.02,8.3,748,214,0.024,0.091,567,45,"1"
"60653",8.9,0.02,8.3,747,214,0.024,0.091,515,42,"1"
"60654",8.9,0.02,8.3,748,211,0.024,0.088,630,42,"1"
"60655",8.9,0.02,8.31,748,214,0.024,0.09,516,42,"1"
"60656",8.9,0.02,8.3,748,211,0.023,0.088,546,42,"1"
"60657",8.9,0.02,8.31,747,211,0.024,0.09,583,46,"1"
"60658",8.9,0.02,8.31,748,211,0.023,0.087,520,47,"1"
"60659",8.9,0.02,8.32,747,211,0.023,0.088,575,46,"1"
"60660",8.9,0.01,8.32,748,211,0.024,0.087,578,46,"1"
"60661",8.9,0.01,8.32,747,211,0.024,0.087,586,42,"1"
"60662",8.9,0.01,8.32,747,211,0.024,0.087,539,46,"1"
"60663",8.9,0.01,8.32,747,211,0.024,0.086,612,47,"1"
"60664",8.9,0.01,8.32,747,211,0.024,0.087,521,46,"1"
"60665",8.9,0.01,8.32,748,211,0.024,0.086,594,46,"1"
"60667",8.9,0.01,8.32,747,211,0.024,0.087,569,46,"1"
"60668",9,0.01,8.32,747,211,0.024,0.087,560,46,"1"
"60669",9,0.01,8.32,747,211,0.045,0.086,562,47,"1"
"60670",9.1,0.01,8.32,747,211,0.025,0.086,596,47,"1"
"60671",9.1,0.01,8.33,747,211,0.024,0.086,509,48,"1"
"60672",9.1,0.01,8.32,747,211,0.024,0.086,614,47,"1"
"60673",8.9,0.01,8.32,747,211,0.025,0.087,527,47,"1"
"60674",9,0.01,8.32,747,211,0.024,0.087,556,46,"1"
"60675",9,0.01,8.32,747,211,0.025,0.086,591,46,"1"
"60676",9,0.01,8.32,747,211,0.024,0.086,537,45,"1"
"60677",9,0.01,8.32,747,211,0.024,0.085,673,46,"1"
"60678",9,0.01,8.33,747,211,0.024,0.087,511,45,"1"
"60679",9.1,0.01,8.32,747,211,0.026,0.085,567,46,"1"
"60680",9,0.01,8.32,747,211,0.026,0.087,567,45,"1"
"60681",9.1,0.01,8.32,747,211,0.024,0.085,523,47,"1"
"60682",9.1,0.01,8.32,747,211,0.024,0.085,581,46,"1"
"60683",9.1,0.01,8.32,747,211,0.024,0.086,549,45,"1"
"60684",9.1,0.01,8.33,747,211,0.024,0.083,672,37,"1"
"60685",9.1,0.01,8.32,747,211,0.024,0.086,652,39,"1"
"60686",9.1,0.01,8.33,747,211,0.024,0.085,631,34,"1"
"60687",9.1,0,8.01,757,211,0.008,0.081,667,39,"1"
"60688",9.1,0.01,8.18,750,211,0.024,0.085,608,47,"1"
"60689",9.1,0.01,8.24,747,211,0.027,0.083,637,39,"1"
"60690",9.2,0.01,8.26,747,211,0.024,0.083,627,34,"1"
"60691",9.3,0.01,8.27,746,211,0.024,0.083,643,35,"1"
"60692",9.3,0.01,8.29,747,211,0.024,0.083,613,33,"1"
"60693",9.3,0.01,8.3,747,211,0.024,0.083,626,34,"1"
"60694",9.3,0.01,8.31,747,211,0.024,0.083,646,35,"1"
"60695",9.2,0.01,8.31,747,211,0.024,0.083,596,35,"1"
"60696",9.2,0.01,8.31,747,211,0.024,0.083,762,34,"1"
"60697",9.2,0.01,8.32,746,211,0.024,0.083,652,35,"1"
"60698",9.3,0.01,8.31,746,211,0.024,0.083,681,35,"1"
"60699",9.3,0.01,8.32,746,211,0.024,0.083,652,34,"1"
"60700",9.3,0,8.31,746,211,0.024,0.083,571,33,"1"
"60701",0,0,4.01,300,10,0,0,3923,0,"1"
"60702",9.3,0,8.23,746,211,0.024,0.083,584,56,"1"
"60703",9.3,0,8.26,746,211,0.024,0.083,562,39,"1"
"60704",9.3,0,8.28,746,211,0.025,0.083,577,35,"1"
"60705",9.1,0,8.28,747,211,0.025,0.083,627,40,"1"
"60706",9,0,8.3,745,211,0.025,0.083,554,37,"1"
"60707",8.9,0,8.3,746,211,0.025,0.082,596,37,"1"
"60708",8.9,0,8.3,746,211,0.025,0.083,574,37,"1"
"60709",8.8,0,8.3,745,211,0.025,0.083,589,37,"1"
"60710",8.7,0,8.31,746,211,0.025,0.082,636,39,"1"
"60711",8.7,0,8.32,746,211,0.024,0.083,568,37,"1"
"60712",8.7,0,8.31,746,211,0.024,0.081,641,37,"1"
"60713",8.7,0,8.32,745,211,0.024,0.083,550,37,"1"
"60714",8.7,0,8.31,746,211,0.024,0.082,627,40,"1"
"60715",8.6,0,8.31,745,211,0.024,0.083,577,39,"1"
"60716",8.6,0,8.32,745,211,0.024,0.082,620,37,"1"
"60717",8.6,0,8.32,746,211,0.024,0.083,644,50,"1"
"60718",8.5,0,8.32,745,211,0.024,0.082,583,48,"1"
"60719",8.5,0,8.32,745,211,0.028,0.081,619,47,"1"
"60720",8.5,0,8.32,745,211,0.024,0.082,606,40,"1"
"60721",8.5,0,8.32,745,211,0.024,0.082,545,39,"1"
"60722",8.5,0,8.32,745,212,0.024,0.081,631,37,"1"
"60723",8.5,0,8.32,745,211,0.024,0.082,584,37,"1"
"60724",8.5,0,8.32,745,212,0.024,0.082,627,37,"1"
"60725",8.5,0,8.32,745,211,0.024,0.082,565,35,"1"
"60726",8.5,0,8.32,746,211,0.024,0.082,592,35,"1"
"60727",8.5,0,8.32,745,211,0.024,0.082,572,37,"1"
"60728",8.5,0,8.32,745,211,0.024,0.081,581,39,"1"
"60729",8.5,0,8.32,745,211,0.024,0.082,584,48,"1"
"60730",8.5,0,8.32,745,211,0.024,0.081,586,53,"1"
"60731",8.5,0.01,8.32,745,211,0.024,0.081,614,48,"1"
"60732",8.5,0.02,8.32,745,211,0.024,0.081,615,45,"1"
"60733",8.5,0.05,8.32,745,211,0.024,0.081,598,40,"1"
"60734",8.4,0.11,8.32,745,211,0.024,0.081,621,35,"1"
"60735",8.4,0.18,8.32,744,211,0.025,0.082,615,35,"1"
"60736",8.4,0.18,8.32,745,211,0.024,0.083,618,37,"1"
"60737",8.4,0.16,8.32,744,211,0.023,0.081,664,37,"1"
"60738",8.4,0.13,8.32,745,212,0.024,0.082,618,39,"1"
"60739",8.4,0.1,8.32,745,211,0.023,0.083,432,39,"1"
"60740",8.4,0.08,8.3,745,211,0.023,0.083,627,108,"1"
"60741",8.4,0,8.31,745,212,0.023,0.086,482,111,"1"
"60742",8.4,0,8.3,745,211,0.023,0.081,549,103,"1"
"60743",8.4,0,8.3,745,212,0.023,0.083,596,109,"1"
"60744",8.4,0,8.3,745,211,0.023,0.082,488,168,"1"
"60745",8.4,0,8.29,746,211,0.023,0.081,557,226,"1"
"60746",8.4,0.01,8.29,745,212,0.023,0.083,500,245,"1"
"60747",8.4,0,8.29,746,211,0.023,0.083,534,320,"1"
"60748",8.4,0,8.28,746,211,0.023,0.086,498,409,"1"
"60749",8.4,0,8.27,745,211,0.023,0.085,575,494,"1"
"60750",8.4,0,8.26,746,212,0.023,0.086,638,517,"1"
"60751",8.4,0,8.27,745,212,0.023,0.087,662,584,"1"
"60752",8.4,0,8.27,745,211,0.023,0.086,758,672,"1"
"60753",8.4,0,8.28,745,212,0.023,0.083,756,708,"1"
"60754",8.4,0,8.28,745,212,0.023,0.081,841,695,"1"
"60755",8.4,0,8.3,745,211,0.023,0.081,930,700,"1"
"60756",8.4,0,8.31,743,211,0.024,0.076,997,696,"1"
"60757",8.4,0,8.33,743,212,0.024,0.078,1115,706,"1"
"60758",8.4,0,8.33,743,212,0.023,0.079,1192,733,"1"
"60759",8.4,0,8.34,743,211,0.024,0.079,1343,798,"1"
"60760",8.4,0.03,8.34,743,211,0.024,0.079,1383,861,"1"
"60761",8.4,0.04,8.33,744,211,0.026,0.081,1365,903,"1"
"60762",8.4,0.04,8.34,744,212,0.025,0.079,1324,898,"1"
"60763",8.4,0.04,8.33,743,212,0.024,0.079,1295,903,"1"
"60764",8.4,0.04,8.33,745,212,0.023,0.079,1358,908,"1"
"60765",8.4,0.06,8.33,744,212,0.024,0.079,1471,962,"1"
"60766",8.4,0.08,8.33,744,211,0.023,0.079,1453,1001,"1"
"60767",8.4,0.08,8.32,745,211,0.023,0.081,1512,1001,"1"
